weekDate	variant	week.x	Freq	total	prop	weight	week.y	predicted	std.error	conf.low	conf.high	group	sublineage_grouped	week.coef	se	CI.week.2.5..	CI.week.97.5..
2022-12-25	BA.5	155	237	1804	0.131375	237	155	0.094818	0.004796	0.085917	0.104941	1	BA.5*	0	0	0	0
2022-12-25	Other	155	143	1804	0.079268	143	155	0.048782	0.004798	0.040513	0.058559	1	Other	0.243541	0.018783	0.206728	0.280355
2022-12-25	BA.4	155	1	1804	0.000554	1	155	0.000505	0.000275	0.000162	0.001534	1	BA.4*	-0.054189	0.077284	-0.205662	0.097284
2022-12-25	BA.4.6	155	19	1804	0.010532	19	155	0.00712	0.001075	0.005259	0.009411	1	BA.4.6*	-0.041871	0.022161	-0.085306	0.001564
2022-12-25	BF.7	155	116	1804	0.064302	116	155	0.056998	0.004708	0.048614	0.066372	1	BF.7*	0.187257	0.015371	0.157131	0.217384
2022-12-25	BF.10	155	6	1804	0.003326	6	155	0.001513	0.000431	0.000854	0.002635	1	BF.10*	-0.104199	0.039599	-0.181812	-0.026586
2022-12-25	BQ.1	155	415	1804	0.230044	415	155	0.251596	0.011255	0.230584	0.274853	1	BQ.1*	0.316052	0.011762	0.292999	0.339105
2022-12-25	BQ.1.1	155	867	1804	0.480599	867	155	0.538666	0.013453	0.510522	0.563726	1	BQ.1.1*	0.428045	0.011585	0.405338	0.450752
