weekDate	variant	week.x	Freq	total	prop	weight	week.y	predicted	std.error	conf.low	conf.high	group	sublineage_grouped	week.coef	se	CI.week.2.5..	CI.week.97.5..
2022-12-25	BQ.1	155	415	1804	0.230044	415	155	0.251498	0.011252	0.230769	0.273231	1	BQ.1*	0	0	0	0
2022-12-25	Other	155	143	1804	0.079268	143	155	0.048766	0.004797	0.040433	0.059431	1	Other	-0.072498	0.019921	-0.111543	-0.033453
2022-12-25	BA.5	155	237	1804	0.131375	237	155	0.094858	0.004798	0.086018	0.10402	1	BA.5*	-0.31588	0.011761	-0.338931	-0.292829
2022-12-25	BA.4	155	1	1804	0.000554	1	155	0.000504	0.000275	0.000164	0.001437	1	BA.4*	-0.370165	0.077764	-0.522579	-0.217751
2022-12-25	BA.4.6	155	19	1804	0.010532	19	155	0.007126	0.001076	0.005191	0.00986	1	BA.4.6*	-0.35777	0.023387	-0.403606	-0.311933
2022-12-25	BF.7	155	116	1804	0.064302	116	155	0.05698	0.004707	0.04835	0.066902	1	BF.7*	-0.128776	0.016814	-0.16173	-0.095822
2022-12-25	BF.10	155	6	1804	0.003326	6	155	0.001514	0.000431	0.00087	0.002668	1	BF.10*	-0.420014	0.040345	-0.49909	-0.340939
2022-12-25	BQ.1.1	155	867	1804	0.480599	867	155	0.538754	0.013452	0.512433	0.564869	1	BQ.1.1*	0.112103	0.013061	0.086503	0.137703
